! AWR Design Environment (17603) Fri Jul 12 14:53:36 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 10001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
5.7608 -22.121609 161.80823 -0.026785707 -108.18689 -0.026785707 -108.18689 -22.121609 161.80823 
5.7608006 -22.119914 161.80734 -0.026796194 -108.18778 -0.026796194 -108.18778 -22.119914 161.80734 
5.7608012 -22.118219 161.80644 -0.026806688 -108.18867 -0.026806688 -108.18867 -22.118219 161.80644 
5.7608018 -22.116524 161.80555 -0.026817187 -108.18956 -0.026817187 -108.18956 -22.116524 161.80555 
5.7608024 -22.114828 161.80466 -0.026827693 -108.19045 -0.026827693 -108.19045 -22.114828 161.80466 
5.760803 -22.113132 161.80377 -0.026838206 -108.19134 -0.026838206 -108.19134 -22.113132 161.80377 
5.7608036 -22.111436 161.80288 -0.026848725 -108.19223 -0.026848725 -108.19223 -22.111436 161.80288 
5.7608042 -22.109739 161.80199 -0.02685925 -108.19312 -0.02685925 -108.19312 -22.109739 161.80199 
5.7608048 -22.108042 161.80109 -0.026869782 -108.19401 -0.026869782 -108.19401 -22.108042 161.80109 
5.7608054 -22.106345 161.8002 -0.02688032 -108.19491 -0.02688032 -108.19491 -22.106345 161.8002 
5.760806 -22.104647 161.79931 -0.026890865 -108.1958 -0.026890865 -108.1958 -22.104647 161.79931 
5.7608066 -22.102949 161.79841 -0.026901416 -108.19669 -0.026901416 -108.19669 -22.102949 161.79841 
5.7608072 -22.10125 161.79752 -0.026911974 -108.19759 -0.026911974 -108.19759 -22.10125 161.79752 
5.7608078 -22.099551 161.79662 -0.026922538 -108.19848 -0.026922538 -108.19848 -22.099551 161.79662 
5.7608084 -22.097852 161.79573 -0.026933108 -108.19937 -0.026933108 -108.19937 -22.097852 161.79573 
5.760809 -22.096152 161.79483 -0.026943685 -108.20027 -0.026943685 -108.20027 -22.096152 161.79483 
5.7608096 -22.094452 161.79394 -0.026954269 -108.20116 -0.026954269 -108.20116 -22.094452 161.79394 
5.7608102 -22.092752 161.79304 -0.026964859 -108.20206 -0.026964859 -108.20206 -22.092752 161.79304 
5.7608108 -22.091051 161.79215 -0.026975455 -108.20295 -0.026975455 -108.20295 -22.091051 161.79215 
5.7608114 -22.08935 161.79125 -0.026986058 -108.20385 -0.026986058 -108.20385 -22.08935 161.79125 
5.760812 -22.087648 161.79035 -0.026996667 -108.20474 -0.026996667 -108.20474 -22.087648 161.79035 
5.7608126 -22.085946 161.78945 -0.027007283 -108.20564 -0.027007283 -108.20564 -22.085946 161.78945 
5.7608132 -22.084244 161.78856 -0.027017906 -108.20654 -0.027017906 -108.20654 -22.084244 161.78856 
5.7608138 -22.082541 161.78766 -0.027028535 -108.20743 -0.027028535 -108.20743 -22.082541 161.78766 
5.7608144 -22.080838 161.78676 -0.02703917 -108.20833 -0.02703917 -108.20833 -22.080838 161.78676 
5.760815 -22.079135 161.78586 -0.027049812 -108.20923 -0.027049812 -108.20923 -22.079135 161.78586 
5.7608156 -22.077431 161.78496 -0.02706046 -108.21013 -0.02706046 -108.21013 -22.077431 161.78496 
5.7608162 -22.075727 161.78406 -0.027071115 -108.21103 -0.027071115 -108.21103 -22.075727 161.78406 
5.7608168 -22.074022 161.78316 -0.027081777 -108.21193 -0.027081777 -108.21193 -22.074022 161.78316 
5.7608174 -22.072317 161.78226 -0.027092445 -108.21282 -0.027092445 -108.21282 -22.072317 161.78226 
5.760818 -22.070612 161.78136 -0.02710312 -108.21372 -0.02710312 -108.21372 -22.070612 161.78136 
5.7608186 -22.068907 161.78046 -0.027113801 -108.21462 -0.027113801 -108.21462 -22.068907 161.78046 
5.7608192 -22.067201 161.77956 -0.027124489 -108.21553 -0.027124489 -108.21553 -22.067201 161.77956 
5.7608198 -22.065494 161.77866 -0.027135183 -108.21643 -0.027135183 -108.21643 -22.065494 161.77866 
5.7608204 -22.063787 161.77775 -0.027145884 -108.21733 -0.027145884 -108.21733 -22.063787 161.77775 
5.760821 -22.06208 161.77685 -0.027156591 -108.21823 -0.027156591 -108.21823 -22.06208 161.77685 
5.7608216 -22.060373 161.77595 -0.027167305 -108.21913 -0.027167305 -108.21913 -22.060373 161.77595 
5.7608222 -22.058665 161.77504 -0.027178026 -108.22003 -0.027178026 -108.22003 -22.058665 161.77504 
5.7608228 -22.056957 161.77414 -0.027188753 -108.22094 -0.027188753 -108.22094 -22.056957 161.77414 
5.7608234 -22.055248 161.77324 -0.027199487 -108.22184 -0.027199487 -108.22184 -22.055248 161.77324 
5.760824 -22.053539 161.77233 -0.027210227 -108.22274 -0.027210227 -108.22274 -22.053539 161.77233 
5.7608246 -22.05183 161.77143 -0.027220974 -108.22365 -0.027220974 -108.22365 -22.05183 161.77143 
5.7608252 -22.05012 161.77052 -0.027231728 -108.22455 -0.027231728 -108.22455 -22.05012 161.77052 
5.7608258 -22.04841 161.76962 -0.027242488 -108.22545 -0.027242488 -108.22545 -22.04841 161.76962 
5.7608264 -22.046699 161.76871 -0.027253255 -108.22636 -0.027253255 -108.22636 -22.046699 161.76871 
5.760827 -22.044988 161.7678 -0.027264029 -108.22727 -0.027264029 -108.22727 -22.044988 161.7678 
5.7608276 -22.043277 161.7669 -0.027274809 -108.22817 -0.027274809 -108.22817 -22.043277 161.7669 
5.7608282 -22.041566 161.76599 -0.027285596 -108.22908 -0.027285596 -108.22908 -22.041566 161.76599 
5.7608288 -22.039854 161.76508 -0.027296389 -108.22998 -0.027296389 -108.22998 -22.039854 161.76508 
5.7608294 -22.038141 161.76417 -0.027307189 -108.23089 -0.027307189 -108.23089 -22.038141 161.76417 
5.76083 -22.036428 161.76327 -0.027317996 -108.2318 -0.027317996 -108.2318 -22.036428 161.76327 
5.7608306 -22.034715 161.76236 -0.027328809 -108.23271 -0.027328809 -108.23271 -22.034715 161.76236 
5.7608312 -22.033002 161.76145 -0.027339629 -108.23361 -0.027339629 -108.23361 -22.033002 161.76145 
5.7608318 -22.031288 161.76054 -0.027350456 -108.23452 -0.027350456 -108.23452 -22.031288 161.76054 
5.7608324 -22.029574 161.75963 -0.027361289 -108.23543 -0.027361289 -108.23543 -22.029574 161.75963 
5.760833 -22.027859 161.75872 -0.02737213 -108.23634 -0.02737213 -108.23634 -22.027859 161.75872 
5.7608336 -22.026144 161.75781 -0.027382976 -108.23725 -0.027382976 -108.23725 -22.026144 161.75781 
5.7608342 -22.024429 161.7569 -0.02739383 -108.23816 -0.02739383 -108.23816 -22.024429 161.7569 
5.7608348 -22.022713 161.75599 -0.02740469 -108.23907 -0.02740469 -108.23907 -22.022713 161.75599 
5.7608354 -22.020997 161.75507 -0.027415557 -108.23998 -0.027415557 -108.23998 -22.020997 161.75507 
5.760836 -22.01928 161.75416 -0.027426431 -108.24089 -0.027426431 -108.24089 -22.01928 161.75416 
5.7608366 -22.017563 161.75325 -0.027437311 -108.2418 -0.027437311 -108.2418 -22.017563 161.75325 
5.7608372 -22.015846 161.75234 -0.027448198 -108.24271 -0.027448198 -108.24271 -22.015846 161.75234 
5.7608378 -22.014129 161.75142 -0.027459092 -108.24363 -0.027459092 -108.24363 -22.014129 161.75142 
5.7608384 -22.012411 161.75051 -0.027469992 -108.24454 -0.027469992 -108.24454 -22.012411 161.75051 
5.760839 -22.010692 161.7496 -0.0274809 -108.24545 -0.0274809 -108.24545 -22.010692 161.7496 
