! AWR Design Environment (17603) Wed Feb 28 12:28:39 2024
! Document = 'Ideal Resonator'
! nPorts: 2, nXvals: 8751

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
1 -0.14836825 -24.81114 -15.148329 65.616895 -15.148329 65.616895 -0.14836825 -24.81114 
1.0008 -0.14853652 -24.832914 -15.144541 65.596748 -15.144541 65.596748 -0.14853652 -24.832914 
1.0016 -0.14870473 -24.854696 -15.140763 65.5766 -15.140763 65.5766 -0.14870473 -24.854696 
1.0024 -0.14887287 -24.876484 -15.136996 65.55645 -15.136996 65.55645 -0.14887287 -24.876484 
1.0032 -0.14904095 -24.898279 -15.13324 65.536298 -15.13324 65.536298 -0.14904095 -24.898279 
1.004 -0.14920897 -24.920082 -15.129495 65.516145 -15.129495 65.516145 -0.14920897 -24.920082 
1.0048 -0.14937693 -24.941891 -15.125761 65.495991 -15.125761 65.495991 -0.14937693 -24.941891 
1.0056 -0.14954483 -24.963708 -15.122037 65.475835 -15.122037 65.475835 -0.14954483 -24.963708 
1.0064 -0.14971266 -24.985532 -15.118325 65.455677 -15.118325 65.455677 -0.14971266 -24.985532 
1.0072 -0.14988043 -25.007363 -15.114624 65.435519 -15.114624 65.435519 -0.14988043 -25.007363 
1.008 -0.15004814 -25.029202 -15.110933 65.415358 -15.110933 65.415358 -0.15004814 -25.029202 
1.0088 -0.15021578 -25.051047 -15.107254 65.395196 -15.107254 65.395196 -0.15021578 -25.051047 
1.0096 -0.15038336 -25.0729 -15.103585 65.375033 -15.103585 65.375033 -0.15038336 -25.0729 
1.0104 -0.15055087 -25.09476 -15.099928 65.354868 -15.099928 65.354868 -0.15055087 -25.09476 
1.0112 -0.15071832 -25.116627 -15.096281 65.334702 -15.096281 65.334702 -0.15071832 -25.116627 
1.012 -0.15088571 -25.138502 -15.092646 65.314535 -15.092646 65.314535 -0.15088571 -25.138502 
1.0128 -0.15105303 -25.160384 -15.089021 65.294366 -15.089021 65.294366 -0.15105303 -25.160384 
1.0136 -0.15122028 -25.182273 -15.085407 65.274195 -15.085407 65.274195 -0.15122028 -25.182273 
1.0144 -0.15138747 -25.204169 -15.081805 65.254023 -15.081805 65.254023 -0.15138747 -25.204169 
1.0152 -0.15155459 -25.226073 -15.078213 65.23385 -15.078213 65.23385 -0.15155459 -25.226073 
1.016 -0.15172165 -25.247985 -15.074632 65.213675 -15.074632 65.213675 -0.15172165 -25.247985 
1.0168 -0.15188864 -25.269903 -15.071062 65.193499 -15.071062 65.193499 -0.15188864 -25.269903 
1.0176 -0.15205556 -25.291829 -15.067504 65.173321 -15.067504 65.173321 -0.15205556 -25.291829 
1.0184 -0.15222242 -25.313763 -15.063956 65.153142 -15.063956 65.153142 -0.15222242 -25.313763 
1.0192 -0.1523892 -25.335704 -15.060419 65.132962 -15.060419 65.132962 -0.1523892 -25.335704 
1.02 -0.15255592 -25.357653 -15.056893 65.11278 -15.056893 65.11278 -0.15255592 -25.357653 
1.0208 -0.15272257 -25.379609 -15.053379 65.092597 -15.053379 65.092597 -0.15272257 -25.379609 
1.0216 -0.15288916 -25.401572 -15.049875 65.072412 -15.049875 65.072412 -0.15288916 -25.401572 
