! AWR Design Environment (17603) Mon Mar 18 17:37:55 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 8001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
4 -302.62571 18 9.6432747e-16 -72 0 -72 -303.86572 17.650124 
4.002 -301.4641 17.964 0 -72.036 0 -72.036 -300.62533 17.354025 
4.004 -305.3744 29.237932 0 -72.072 0 -72.072 -305.70474 15.524111 
4.006 -319.52237 17.892 9.6432747e-16 -72.108 0 -72.108 -318.1227 26.565051 
4.008 -800 0 0 -72.144 9.6432747e-16 -72.144 -313.0712 -162.144 
4.01 -319.51885 17.82 9.6432747e-16 -72.18 9.6432747e-16 -72.18 -312.80791 14.036243 
4.012 -303.4965 -161.56505 9.6432747e-16 -72.216 -9.6432747e-16 -72.216 -302.18983 -162.216 
4.014 -309.85393 27.210322 9.6432747e-16 -72.252 9.6432747e-16 -72.252 -307.68907 19.653824 
4.016 -800 0 0 -72.288 0 -72.288 -800 0 
4.018 -313.49126 180 9.6432747e-16 -72.324 -9.6432747e-16 -72.324 -319.0918 -162.324 
4.02 -313.48953 0 0 -72.36 9.6432747e-16 -72.36 -319.0918 17.64 
4.022 -800 0 0 -72.396 0 -72.396 -800 0 
4.024 -319.50666 17.568 9.6432747e-16 -72.432 0 -72.432 -318.82851 14.036243 
4.026 -325.52554 -90 9.6432747e-16 -72.468 9.6432747e-16 -72.468 -319.0918 -162.468 
4.028 -312.51351 -153.43495 -4.8216373e-16 -72.504 -4.8216373e-16 -72.504 -313.0712 -162.504 
4.03 -309.84008 26.922322 0 -72.54 0 -72.54 -310.75873 16.699244 
4.032 -313.21589 31.460243 1.9286549e-15 -72.576 9.6432747e-16 -72.576 -309.28608 14.036243 
4.034 -318.52897 43.953051 0 -72.612 0 -72.612 -312.80791 14.036243 
4.036 -318.52726 43.917051 0 -72.648 0 -72.648 -315.1124 18.434949 
4.038 -800 0 0 -72.684 0 -72.684 -800 0 
4.04 -305.47035 22.990593 -4.8216373e-16 -72.72 -4.8216373e-16 -72.72 -305.70474 15.524111 
4.042 -309.82985 7.7816778 9.6432747e-16 -72.756 9.6432747e-16 -72.756 -307.86964 15.945396 
4.044 -313.46897 17.208 1.9286549e-15 -72.792 -4.8216373e-16 -72.792 -318.82851 14.036243 
4.046 -800 0 -4.8216373e-16 -72.828 -4.8216373e-16 -72.828 -800 0 
4.048 -313.20231 -165.96376 0 -72.864 0 -72.864 -313.0712 -162.864 
4.05 -325.50512 -90 -4.8216373e-16 -72.9 0 -72.9 -319.0918 17.1 
4.052 -319.48284 17.064 0 -72.936 0 -72.936 -322.1021 45 
4.054 -312.49147 -153.43495 -4.8216373e-16 -72.972 1.9286549e-15 -72.972 -307.0506 -162.972 
4.056 -319.4795 16.992 0 -73.008 9.6432747e-16 -73.008 -312.49977 20.556045 
4.058 -800 0 9.6432747e-16 -73.044 9.6432747e-16 -73.044 -319.0918 -163.044 
4.06 -309.93375 16.92 9.6432747e-16 -73.08 9.6432747e-16 -73.08 -307.86964 15.945396 
4.062 -800 0 0 -73.116 0 -73.116 -800 0 
4.064 -318.50376 43.413051 -9.6432747e-16 -73.152 0 -73.152 -324.1433 26.565051 
4.066 -307.16672 -165.96376 -4.8216373e-16 -73.188 -4.8216373e-16 -73.188 -307.0506 -163.188 
4.068 -319.46956 -90 -4.8216373e-16 -73.224 1.9286549e-15 -73.224 -313.0712 -163.224 
4.07 -313.18403 -165.96376 0 -73.26 0 -73.26 -313.0712 -163.26 
4.072 -307.16179 -165.96376 9.6432747e-16 -73.296 -9.6432747e-16 -73.296 -309.54937 -163.296 
4.074 -319.46464 90 0 -73.332 0 -73.332 -800 0 
4.076 -307.35448 23.757016 -4.8216373e-16 -73.368 0 -73.368 -306.64593 17.354025 
4.078 -313.17749 -165.96376 -4.8216373e-16 -73.404 -4.8216373e-16 -73.404 -313.0712 -163.404 
4.08 -800 0 0 -73.44 0 -73.44 -800 0 
4.082 -319.45813 16.524 0 -73.476 9.6432747e-16 -73.476 -315.1124 18.434949 
4.084 -305.47712 16.488 -9.6432747e-16 -73.512 0 -73.512 -305.56997 18.434949 
4.086 -313.4343 16.452 0 -73.548 -4.8216373e-16 -73.548 -310.75873 16.699244 
4.088 -307.14881 -165.96376 -4.8216373e-16 -73.584 -4.8216373e-16 -73.584 -307.0506 -163.584 
4.09 -313.1678 -165.96376 0 -73.62 0 -73.62 -313.0712 -163.62 
4.092 -313.1662 -165.96376 9.6432747e-16 -73.656 -9.6432747e-16 -73.656 -319.0918 -163.656 
4.094 -313.1646 30.344243 -9.6432747e-16 -73.692 0 -73.692 -310.96266 11.309932 
4.096 -313.163 14.036243 -4.8216373e-16 -73.728 9.6432747e-16 -73.728 -319.0918 16.272 
4.098 -318.4762 42.801051 0 -73.764 0 -73.764 -315.45098 9.4623222 
4.1 -318.47461 42.765051 0 -73.8 9.6432747e-16 -73.8 -315.45098 9.4623222 
4.102 -319.44213 16.164 0 -73.836 0 -73.836 -318.1227 26.565051 
4.104 -313.15666 30.164243 0 -73.872 0 -73.872 -312.49977 20.556045 
4.106 -318.46987 -10.473051 9.6432747e-16 -73.908 0 -73.908 -318.1227 26.565051 
4.108 -319.4374 16.056 0 -73.944 9.6432747e-16 -73.944 -312.80791 14.036243 
4.11 -319.43583 16.02 9.6432747e-16 -73.98 9.6432747e-16 -73.98 -315.1124 18.434949 
4.112 -800 0 1.9286549e-15 -74.016 1.9286549e-15 -74.016 -319.0918 -164.016 
4.114 -313.14882 -165.96376 9.6432747e-16 -74.052 9.6432747e-16 -74.052 -313.0712 -164.052 
4.116 -800 0 0 -74.088 0 -74.088 -800 0 
4.118 -306.81697 -159.44395 9.6432747e-16 -74.124 0 -74.124 -305.1124 -164.124 
4.12 -313.14415 29.876243 9.6432747e-16 -74.16 -4.8216373e-16 -74.16 -313.00386 7.1250163 
4.122 -319.4265 15.804 0 -74.196 0 -74.196 -315.45098 9.4623222 
4.124 -312.43525 -153.43495 9.6432747e-16 -74.232 9.6432747e-16 -74.232 -309.54937 -164.232 
4.126 -319.42342 15.732 9.6432747e-16 -74.268 9.6432747e-16 -74.268 -312.80791 14.036243 
4.128 -800 0 0 -74.304 9.6432747e-16 -74.304 -800 0 
4.13 -307.37915 15.66 9.6432747e-16 -74.34 9.6432747e-16 -74.34 -306.78731 14.036243 
4.132 -313.13493 -165.96376 -9.6432747e-16 -74.376 -9.6432747e-16 -74.376 -800 0 
4.134 -312.4276 -153.43495 0 -74.412 9.6432747e-16 -74.412 -307.0506 -164.412 
4.136 -800 0 0 -74.448 0 -74.448 -800 0 
4.138 -313.13037 -165.96376 0 -74.484 0 -74.484 -313.0712 -164.484 
4.14 -307.37154 15.48 1.9286549e-15 -74.52 -4.8216373e-16 -74.52 -309.28608 14.036243 
4.142 -313.12735 -165.96376 1.9286549e-15 -74.556 -4.8216373e-16 -74.556 -319.0918 -164.556 
4.144 -309.74831 24.870322 -4.8216373e-16 -74.592 -4.8216373e-16 -74.592 -310.96266 11.309932 
4.146 -313.38763 15.372 0 -74.628 0 -74.628 -312.49977 20.556045 
4.148 -309.74531 24.798322 0 -74.664 9.6432747e-16 -74.664 -306.90054 10.619655 
4.15 -800 0 0 -74.7 0 -74.7 -800 0 
4.152 -313.11985 14.036243 -4.8216373e-16 -74.736 9.6432747e-16 -74.736 -319.0918 15.264 
4.154 -309.74084 24.690322 0 -74.772 -4.8216373e-16 -74.772 -310.75873 16.699244 
4.156 -313.38017 180 0 -74.808 0 -74.808 -313.0712 -164.808 
4.158 -307.35809 15.156 0 -74.844 0 -74.844 -306.78731 14.036243 
4.16 -800 0 9.6432747e-16 -74.88 9.6432747e-16 -74.88 -319.0918 -164.88 
4.162 -303.57003 -165.96376 0 -74.916 -4.8216373e-16 -74.916 -303.52877 -164.916 
4.164 -319.39487 15.048 0 -74.952 0 -74.952 -315.45098 9.4623222 
4.166 -319.39341 -90 0 -74.988 0 -74.988 -800 0 
4.168 -313.37135 0 1.9286549e-15 -75.024 1.9286549e-15 -75.024 -319.0918 -165.024 
4.17 -313.1066 -165.96376 9.6432747e-16 -75.06 9.6432747e-16 -75.06 -309.54937 -165.06 
4.172 -800 0 0 -75.096 0 -75.096 -800 0 
4.174 -800 0 0 -75.132 0 -75.132 -312.80791 14.036243 
4.176 -325.40674 90 0 -75.168 -4.8216373e-16 -75.168 -319.0918 14.832 
4.178 -313.1008 -165.96376 9.6432747e-16 -75.204 -4.8216373e-16 -75.204 -319.0918 -165.204 
4.18 -319.38325 14.76 9.6432747e-16 -75.24 0 -75.24 -318.1227 26.565051 
4.182 -318.41272 -11.841051 0 -75.276 0 -75.276 -315.56997 0 
4.184 -313.09649 -165.96376 9.6432747e-16 -75.312 9.6432747e-16 -75.312 -313.0712 -165.312 
4.186 -313.09507 -165.96376 9.6432747e-16 -75.348 -9.6432747e-16 -75.348 -319.0918 -165.348 
4.188 -325.39813 -90 0 -75.384 -4.8216373e-16 -75.384 -800 0 
4.19 -313.35551 14.58 0 -75.42 0 -75.42 -312.80791 14.036243 
4.192 -325.39529 -90 -4.8216373e-16 -75.456 1.9286549e-15 -75.456 -313.0712 -165.456 
4.194 -305.35066 8.7974069 9.6432747e-16 -75.492 9.6432747e-16 -75.492 -304.73813 16.699244 
4.196 -800 0 0 -75.528 0 -75.528 -800 0 
4.198 -313.08657 -165.96376 0 -75.564 0 -75.564 -313.0712 -165.564 
4.2 -325.38966 -90 9.6432747e-16 -75.6 9.6432747e-16 -75.6 -319.0918 -165.6 
4.202 -800 0 0 -75.636 9.6432747e-16 -75.636 -315.45098 9.4623222 
4.204 -313.27833 -172.87498 9.6432747e-16 -75.672 0 -75.672 -319.0918 -165.672 
4.206 -800 0 9.6432747e-16 -75.708 9.6432747e-16 -75.708 -319.0918 -165.708 
4.208 -312.37378 -153.43495 -4.8216373e-16 -75.744 1.9286549e-15 -75.744 -307.0506 -165.744 
4.21 -313.07821 -165.96376 -4.8216373e-16 -75.78 9.6432747e-16 -75.78 -313.0712 -165.78 
4.212 -303.6787 -170.53768 9.6432747e-16 -75.816 -9.6432747e-16 -75.816 -305.1124 -165.816 
4.214 -307.05485 -165.96376 0 -75.852 0 -75.852 -307.0506 -165.852 
4.216 -309.81554 14.112 -4.8216373e-16 -75.888 9.6432747e-16 -75.888 -306.78731 14.036243 
